Day;p50_inf_sent;p68_inf_sent;p32_inf_sent;p50_inf_fx;p68_inf_fx;p32_inf_fx;p50_inf_i;p68_inf_i;p32_inf_i;p50_e_sent;p68_e_sent;p32_e_sent;p50_e_inf;p68_e_inf;p32_e_inf;p50_e_i;p68_e_i;p32_e_i;p50_s_fx;p68_s_fx;p32_s_fx;p50_s_inf;p68_s_inf;p32_s_inf;p50_s_i;p68_s_i;p32_s_i;p50_i_inf;p68_i_inf;p32_i_inf;p50_i_fx;p68_i_fx;p32_i_fx;p50_i_sent;p68_i_sent;p32_i_sent
34;0.282231626;0.416612752;0.149652784;0.63752927;0.744418709;0.53133265;-0.011760602;0.006803064;-0.030194006;0.248236594;0.33466434;0.162194895;0.035218114;0.067239987;0.002441463;-0.010248949;0.00137897;-0.022044031;0.295116189;0.377679042;0.210330368;-0.051524;-0.013747216;-0.09154615;-0.011558743;0.002594871;-0.026033613;-0.073671587;0.005306228;-0.149717902;-0.274946048;-0.098681785;-0.451694242;0.088366922;0.326558083;-0.153698304
35;0.288932585;0.425672192;0.154328142;0.656303065;0.764496634;0.548387866;-0.012348488;0.006382074;-0.030907576;0.252163055;0.339775584;0.165689189;0.037851691;0.070414866;0.004707094;-0.010404592;0.001239736;-0.02226688;0.296346978;0.379542705;0.211406174;-0.049641787;-0.011931352;-0.089686111;-0.011314373;0.002695817;-0.025655368;-0.078990771;-0.000346664;-0.154524715;-0.266253243;-0.091685606;-0.441046356;0.09257024;0.328677845;-0.144929634
36;0.296517056;0.434829448;0.159498724;0.674418235;0.784614917;0.565516467;-0.012839938;0.005941286;-0.031703426;0.256287828;0.344515754;0.168681198;0.04062241;0.073558615;0.00720977;-0.010565842;0.001087429;-0.022492004;0.296806571;0.38093883;0.211859133;-0.047650066;-0.009806742;-0.087389663;-0.011018665;0.002780173;-0.025252453;-0.083729553;-0.006018371;-0.159273847;-0.258177469;-0.085457958;-0.43154399;0.096371024;0.329714663;-0.139270187
37;0.303720856;0.443618547;0.165164045;0.692661726;0.805070293;0.582044133;-0.013337842;0.005574117;-0.032353716;0.259627684;0.349325628;0.171232094;0.043250684;0.076687579;0.009531839;-0.010728423;0.000974923;-0.0227717;0.297901561;0.382401682;0.212280104;-0.04585846;-0.007866602;-0.085375859;-0.010750914;0.002890073;-0.024885129;-0.088137602;-0.010816167;-0.163262323;-0.25005604;-0.080211595;-0.423020371;0.098690698;0.328482159;-0.134251915
38;0.310812492;0.452912344;0.170438391;0.710542033;0.824572483;0.598089548;-0.013796248;0.005134315;-0.033032625;0.263568184;0.354355068;0.173613428;0.045732991;0.079644438;0.011852257;-0.010900487;0.000855352;-0.022968516;0.298653351;0.383808359;0.212993105;-0.04409852;-0.005942746;-0.083439915;-0.010511472;0.002885467;-0.024475202;-0.092398134;-0.015345051;-0.167303378;-0.242727096;-0.074597071;-0.41425829;0.100131765;0.327190685;-0.129275313
39;0.317690238;0.461677529;0.175036218;0.728494992;0.843524195;0.614379982;-0.014307952;0.004771567;-0.033715295;0.267068766;0.358769145;0.176110872;0.048259889;0.082528903;0.014228786;-0.011099195;0.000727139;-0.023152642;0.299018495;0.385030793;0.213551686;-0.042028885;-0.004161815;-0.081672737;-0.010331303;0.002936247;-0.024123612;-0.095914324;-0.019590412;-0.170353589;-0.236449706;-0.069828325;-0.406588616;0.10151031;0.32411373;-0.124549748
40;0.324541993;0.469659006;0.180283799;0.745882946;0.86276675;0.629991616;-0.014774293;0.004386573;-0.034231357;0.270147522;0.362502694;0.178391961;0.051087243;0.085380229;0.016377335;-0.011236335;0.000614176;-0.023325874;0.299237109;0.385766406;0.213754484;-0.039994584;-0.002296654;-0.079881574;-0.010090527;0.002966834;-0.023738478;-0.099347159;-0.023816136;-0.17339319;-0.230802491;-0.064819228;-0.398483267;0.101306188;0.321174275;-0.120486254
41;0.331651255;0.478180579;0.185573424;0.763128449;0.881664229;0.645388054;-0.015177908;0.00401673;-0.034779433;0.273371932;0.365815559;0.180526725;0.05374993;0.088259587;0.018774043;-0.011387358;0.000508364;-0.023483248;0.299487659;0.386297635;0.214043054;-0.037982281;-7.38027E-05;-0.078003083;-0.009865864;0.002936026;-0.023399442;-0.102829437;-0.027544573;-0.176242327;-0.225693094;-0.060846676;-0.391791198;0.101952285;0.317014913;-0.116627403
42;0.33829667;0.486452352;0.191060579;0.780315069;0.900355149;0.660303526;-0.015639034;0.003668353;-0.035353536;0.275845414;0.369203164;0.182734349;0.056197584;0.091058044;0.020916167;-0.01149333;0.000372987;-0.023653197;0.299848205;0.386513753;0.214394865;-0.036254367;0.001808217;-0.076206362;-0.009709984;0.002951186;-0.023039489;-0.105230613;-0.031038543;-0.17864618;-0.221037602;-0.058079299;-0.385739022;0.100854287;0.310773771;-0.112591563
43;0.344560442;0.494173612;0.195577067;0.796973445;0.918303091;0.675409502;-0.016054197;0.003415507;-0.035877696;0.278421963;0.373003391;0.184665622;0.058645774;0.094045996;0.02316438;-0.011624729;0.000245415;-0.023792627;0.300137486;0.386829813;0.214378189;-0.034325513;0.003641515;-0.074587003;-0.009553279;0.00291094;-0.022627746;-0.108254926;-0.034155999;-0.180426404;-0.216120756;-0.055292416;-0.379527842;0.10019784;0.305884554;-0.109701943
