,inf,e,s,i
2024-01-04,1.975887744499036,0.591043518518517,-0.679524164253435,-0.39000000000000057
2024-01-05,2.0601047362435425,0.5996444444444426,-0.6371904905738114,-0.39000000000000057
2024-01-06,2.115321803114117,0.6082453703703683,-0.5506416466065815,-0.39000000000000057
2024-01-07,2.153967484342445,0.6168462962962948,-0.3836588226480664,-0.39000000000000057
2024-01-08,2.1721767666647844,0.6254472222222205,-0.2975803528328319,-0.39000000000000057
2024-01-09,2.1363652050259945,0.6340481481481461,-0.39971874012335235,-0.5700000000000003
2024-01-10,2.1088572183459897,0.6426490740740727,-0.3401380142038819,-0.5700000000000003
2024-01-11,2.1030194402198763,0.6512499999999983,-0.12481118017912962,-0.5700000000000003
2024-01-12,2.055602521785059,0.659850925925924,-0.21933398596114687,-0.5700000000000003
2024-01-13,2.0159396501396465,0.6684518518518505,-0.30314610758949295,-0.5700000000000003
2024-01-14,1.982369243828766,0.6770527777777762,-0.33372042746922087,-0.5700000000000003
2024-01-15,1.9889155979344917,0.6856537037037018,-0.42779525786838446,1.4000000000000004
2024-01-16,2.0078270314997644,0.6942546296296275,-0.4424291203749206,1.6800000000000006
2024-01-17,2.0178192604880616,0.702855555555554,-0.4510526464948443,1.6800000000000006
2024-01-18,2.034703524477351,0.7114564814814788,-0.3658477286761724,1.6800000000000006
2024-01-19,2.0589450409720573,0.7200574074074044,-0.31400204436730084,1.6800000000000006
2024-01-20,2.0814961322251784,0.728658333333331,-0.190136851008402,1.6800000000000006
2024-01-21,2.1025982875569404,0.7372592592592566,-0.13996360812884834,1.6800000000000006
2024-01-22,2.1223463229441624,0.7458601851851823,0.20676933819949667,1.7700000000000005
2024-01-23,2.125922063552088,0.7544611111111088,0.18168271675971984,1.87
2024-01-24,2.127320891256635,0.7630620370370345,0.30021700306266574,1.87
2024-01-25,2.123823498863973,0.7716629629629601,0.3472544182622473,1.87
2024-01-26,2.149299402548986,0.7802638888888858,0.322167796822471,1.87
2024-01-27,2.155967286687205,0.7888648148148123,0.40840305802170357,1.87
2024-01-28,2.16231780273424,0.797465740740738,0.5150211991407561,1.87
2024-01-29,2.178829330329485,0.8060666666666636,0.5746019250602256,2.25
2024-01-30,2.179663765375087,0.8146675925925901,0.6540428929528525,1.1100000000000003
2024-01-31,2.187154803768886,0.8232685185185158,0.7857476555116818,1.1100000000000003
2024-02-01,2.60065529666488,0.8318694444444414,0.7716364309518071,1.67
2024-02-02,2.499672815294653,0.840470370370368,0.7841797416716946,1.67
2024-02-03,2.7007727751792814,0.8490712962962936,0.5662397179136336,1.67
2024-02-04,2.6371394044151613,0.8576722222222193,0.5097948196741358,1.67
2024-02-05,2.5927826740495554,0.8662731481481458,0.31411917244387527,1.67
2024-02-06,2.5269600004183976,0.8748740740740715,0.2600261449643564,1.3899999999999997
2024-02-07,2.4723180805114806,0.8834749999999971,0.4176014858829552,1.3899999999999997
2024-02-08,2.4860803718786104,0.8920759259259219,0.45493276778738534,1.3899999999999997
2024-02-09,2.506678107130993,0.9006768518518493,0.6211316348259073,1.3899999999999997
2024-02-10,2.5228141503425072,0.9092777777777741,0.47061190618724535,1.3899999999999997
2024-02-11,2.5357081905271426,0.9181287037037,0.6863568505693275,1.3899999999999997
2024-02-12,2.546170728441618,0.926979629629626,0.6675418844894948,1.3899999999999997
2024-02-13,2.552493297515346,0.935830555555552,0.6487269184096622,1.54
2024-02-14,2.561077103588171,0.9446814814814779,0.8180616131281568,1.54
2024-02-15,2.549089527288792,0.9535324074074039,0.9576806074507235,1.54
2024-02-16,2.536242345605065,0.9623833333333298,1.0699432383937246,1.54
2024-02-17,2.5765597579892874,0.9512342592592562,1.2481478456927135,1.54
2024-02-18,2.6118165559216067,0.9620851851851819,1.2987391989295964,1.54
2024-02-19,2.615121053390655,0.9729361111111077,1.2853516269112533,1.6500000000000004
2024-02-20,2.6352598162616245,0.9837870370370343,1.4104546469859305,0.5900000000000007
2024-02-21,2.649952149639065,0.99463796296296,1.1815392263479656,0.5900000000000007
2024-02-22,2.6468451147085976,1.0054888888888858,1.172416818551683,0.5900000000000007
2024-02-23,2.6513510904643187,0.9966958333333311,1.2095336152728078,0.5900000000000007
2024-02-24,2.677518959491332,1.0179027777777758,1.1681406898971753,0.5900000000000007
2024-02-25,2.7013298719873777,1.01910972222222,1.2402647265365343,0.5900000000000007
2024-02-26,2.7097012340144406,1.0203166666666652,1.2136101912567712,-0.040000000000000036
2024-02-27,2.696483991106596,0.9949708333333316,1.2669192618162983,-1.3600000000000003
2024-02-28,2.680984782949213,0.629624999999999,1.3076850216559353,-1.3600000000000003
2024-02-29,2.6684999660713404,0.704279166666665,1.2251082260833368,-0.9900000000000002
2024-03-01,2.48198792790071,0.7789333333333319,1.20002160464356,1.051400000000001
2024-03-02,2.5575981187896506,0.8797379629629614,1.0523241209168732,1.051400000000001
2024-03-03,2.58614072271277,0.7205425925925901,1.1356475421275607,1.051400000000001
2024-03-04,2.589708208706766,0.5613472222222198,1.0572518501282575,1.051400000000001
2024-03-05,2.62703605769442,0.40215185185184943,1.0188982654270597,-0.41859999999999964
2024-03-06,2.6287657731899468,0.4029564814814792,1.0405354764188668,-0.41859999999999964
2024-03-07,2.636834816192363,0.7037611111111097,0.9545242029110604,-0.41859999999999964
2024-03-08,2.684115663569752,0.7045657407407386,0.7898932497125247,-0.41859999999999964
2024-03-09,2.695441211336819,0.6053703703703688,0.9111452533381135,-0.41859999999999964
2024-03-10,2.70488833486979,0.6061749999999986,0.7173511027158366,-0.41859999999999964
2024-03-11,2.695013247033942,0.6069796296296275,0.6474669429907439,-0.41859999999999964
