,cpi,ridge,lasso,ada,gbr,rf,et,set,min,max,w_avg,w_avg_best,forecast
2023-11-27,,1.8020395009594345,2.279860189543263,2.067707931940239,1.5557434208036585,1.5819635480363667,1.743154742383932,day,1.5557434208036585,2.279860189543263,1.841631572533179,1.8832093060583759,1.6473305823553792
2023-11-28,,2.003074139236987,2.2536587386165285,1.8593148928375047,1.4176753685356074,1.6375730563005977,1.7839331837514822,day,1.4176753685356074,2.2536587386165285,1.8825483248274424,1.9968074018629776,1.6600357093868652
2023-11-29,,2.2227445717780547,2.24927493380783,2.037125178486443,1.4451542195087783,1.6544845029464745,1.812683450536048,day,1.4451542195087783,2.24927493380783,1.9936024789538005,2.1217292607494227,1.6794394632624237
2023-11-30,1.600883245928797,2.354843749726436,2.2512381327799442,2.037125178486443,1.4451542195087783,1.659722879989385,1.8063317758942403,day,1.4451542195087783,2.354843749726436,2.0421982356830717,2.1916471633851167,1.7019529394778907
2023-12-01,,1.994694557730264,1.8539882909053418,1.8593148928375047,0.9307641263203726,1.6868769771710042,1.8915517435480964,day,0.9307641263203726,1.994694557730264,1.784340773686497,1.9395386887839041,1.994694557730264
2023-12-02,,1.7675942166294032,1.8685052938953082,1.8593148928375047,0.9141173382309898,1.685953393623351,1.908738093843278,day,0.9141173382309898,1.908738093843278,1.7028437845720361,1.8245752350542646,1.8811443871798335
2023-12-03,,1.7660894341139948,1.8686146173704867,1.8593148928375047,0.9141173382309898,1.685953393623351,1.9138650820051994,day,0.9141173382309898,1.9138650820051994,1.70321721343943,1.825116535891739,1.842792736157887
2023-12-04,,1.7711978663325323,1.8731677655753916,2.037125178486443,0.8593394620353009,1.6861555012818263,1.915302655365617,day,0.8593394620353009,2.037125178486443,1.7192377957997818,1.8291606636512063,1.8248940187015485
2023-12-05,,1.7792976509628406,1.8782954012019706,2.037125178486443,1.5216975933498411,1.7274446754247026,1.926541967600603,day,1.5216975933498411,2.037125178486443,1.8122971814304087,1.8374749386207534,1.815774745153807
2023-12-06,,1.7757253005195741,1.8766136380221152,2.037125178486443,1.653340196686354,1.7279821181955648,1.942632267305866,day,1.653340196686354,2.037125178486443,1.8304412029194437,1.8393847005037869,1.8090998377147682
2023-12-07,,1.8233172397827606,1.8746290354810682,2.037125178486443,1.7049154421867498,1.733831469619574,1.9657790299838347,day,1.7049154421867498,2.037125178486443,1.8589769504930167,1.8706288781398421,1.8111308951530527
2023-12-08,,1.7584043479022045,1.8890879636145348,2.067707931940239,1.983989380384871,1.9314498088221665,1.9956333830235018,day,1.7584043479022045,2.067707931940239,1.8949031634354216,1.8463193197863024,1.8045400767466968
2023-12-09,,1.7507038396609893,1.8811724876917761,2.067707931940239,1.983989380384871,1.9629801978061039,2.009679543715932,day,1.7507038396609893,2.067707931940239,1.8956270847290688,1.8442165297578401,1.7985582726260627
2023-12-10,,1.7761590097320004,1.8784695684361885,2.067707931940239,1.983989380384871,1.9629801978061039,2.012263860185019,day,1.7761590097320004,2.067707931940239,1.9051742005227488,1.8580554753397884,1.796318346336656
2023-12-11,,1.6474569374517847,1.866573886437863,2.067707931940239,2.0185835677035686,1.9577283916574928,2.0399646534703435,day,1.6474569374517847,2.067707931940239,1.8646896615225923,1.7935009697799444,1.7827854909834862
2023-12-12,,1.6398333902796538,1.8477883107782427,2.067707931940239,2.0185835677035686,1.9620375720524255,2.0679086520292693,day,1.6398333902796538,2.0679086520292693,1.8645382571313065,1.792850706965429,1.7708728159248335
2023-12-13,,1.6958045623156126,1.856682620992338,2.067707931940239,2.1288951038500907,1.968536582017738,2.074482895199968,day,1.6958045623156126,2.1288951038500907,1.9022733983191813,1.826506149584262,1.7650983348779703
2023-12-14,,1.8895920831181037,1.859839905428902,2.081392290199202,2.05171477253045,1.978173042113379,2.072412385222118,day,1.859839905428902,2.081392290199202,1.9667441954583298,1.931010596878088,1.7739907454665513
2023-12-15,,1.998450031973074,1.858242628282385,2.081392290199202,2.019769551404942,1.983585617716648,2.0760494930940574,day,1.858242628282385,2.081392290199202,2.003931329499243,1.9902795833179872,1.7889546979003195
2023-12-16,,1.9664633622803693,1.8676107439969307,2.086609923239493,2.096949882724583,1.9641140680743943,2.0846056651416696,day,1.8676107439969307,2.096949882724583,2.0039717263631105,1.977156925124837,1.8000489894240725
2023-12-17,,1.9682215241216336,1.867783736863859,2.086609923239493,2.096949882724583,1.9641140680743943,2.0846056651416696,day,1.867783736863859,2.096949882724583,2.0046492770920707,1.9781390633820581,1.8099414914651055
2023-12-18,,1.9719385682212105,1.8971845408985821,2.0906434566491465,2.101105523764109,1.9941340677207078,2.1013374337853894,day,1.8971845408985821,2.1013374337853894,2.0161776631763066,1.9904162170736368,1.818941329062667
2023-12-19,,2.1215949770066773,1.8872401075034162,2.1135820621209334,2.159492149910826,1.9988999190297017,2.1034511507732883,day,1.8872401075034162,2.159492149910826,2.081176047824784,2.0695856536457624,1.8348704684281412
